year,state_abb,local police department,sheriffs office,other
1971,RI,45239.0,0.0,0.0
1971,SC,35466.0,22026.0,0.0
1971,SD,8940.0,2606.0,0.0
1971,TN,79812.0,8297.0,0.0
1971,TX,404527.0,25681.0,0.0
1971,UT,43304.0,2356.0,0.0
1971,VA,145133.0,6911.0,0.0
1971,VT,4308.0,31.0,0.0
1971,WA,113018.0,50993.0,0.0
1971,WI,107336.0,23046.0,0.0
1971,WV,14879.0,0.0,0.0
1971,WY,7153.0,1916.0,0.0
1972,AK,10506.0,0.0,0.0
1972,AL,59873.0,7503.0,0.0
1972,AR,26640.0,5022.0,0.0
1972,AZ,98201.0,13321.0,0.0
1972,CA,1064199.0,235700.0,0.0
1972,CO,105159.0,18971.0,0.0
1972,CT,95423.0,0.0,0.0
1972,DC,52636.0,0.0,0.0
1972,DE,15255.0,0.0,0.0
1972,FL,300826.0,89867.0,0.0
1972,GA,108135.0,10978.0,0.0
1972,HI,35958.0,0.0,0.0
1972,IA,58396.0,8924.0,0.0
1972,ID,18898.0,4792.0,0.0
1972,IL,289949.0,19070.0,0.0
1972,IN,128207.0,26349.0,0.0
1972,KS,65677.0,9330.0,0.0
1972,KY,58601.0,8477.0,0.0
1972,LA,81935.0,30646.0,0.0
1972,MA,219241.0,0.0,0.0
1972,MD,167778.0,3227.0,0.0
1972,ME,17632.0,3414.0,0.0
1972,MI,398624.0,80971.0,0.0
1972,MN,114974.0,14038.0,0.0
1972,MO,155749.0,20859.0,0.0
1972,MS,27435.0,6861.0,0.0
1972,MT,15041.0,5539.0,0.0
1972,NC,85705.0,23026.0,0.0
1972,ND,9710.0,2098.0,0.0
1972,NE,34100.0,5112.0,0.0
1972,NH,11443.0,790.0,0.0
1972,NJ,275142.0,0.0,0.0
1972,NM,42040.0,5633.0,0.0
1972,NV,30859.0,3289.0,0.0
1972,NY,691492.0,20824.0,0.0
1972,OH,297451.0,43998.0,0.0
1972,OK,66125.0,5105.0,0.0
1972,OR,76223.0,29092.0,0.0
1972,PA,233112.0,0.0,0.0
1972,RI,43284.0,0.0,0.0
1972,SC,42563.0,24116.0,0.0
1972,SD,9051.0,2846.0,0.0
1972,TN,84700.0,9325.0,0.0
1972,TX,391310.0,23030.0,0.0
1972,UT,42186.0,2972.0,0.0
1972,VA,115447.0,7487.0,0.0
1972,VT,4805.0,55.0,0.0
1972,WA,105882.0,52447.0,0.0
1972,WI,105980.0,24672.0,0.0
1972,WV,16312.0,2587.0,0.0
1972,WY,7541.0,1667.0,0.0
1973,AK,11217.0,0.0,0.0
1973,AL,66345.0,8794.0,0.0
1973,AR,32898.0,6481.0,0.0
1973,AZ,116509.0,14131.0,0.0
1973,CA,1049597.0,236837.0,0.0
1973,CO,105641.0,19296.0,0.0
1973,CT,101678.0,0.0,0.0
1973,DC,51077.0,0.0,0.0
1973,DE,16014.0,0.0,0.0
1973,FL,345577.0,112508.0,0.0
1973,GA,119397.0,15531.0,0.0
1973,HI,39043.0,0.0,0.0
1973,IA,64328.0,12246.0,0.0
1973,ID,18713.0,5916.0,0.0
1973,IL,436614.0,38790.0,0.0
1973,IN,135771.0,20165.0,0.0
1973,KS,67005.0,10178.0,0.0
1973,KY,60686.0,7264.0,0.0
1973,LA,84040.0,31924.0,0.0
1973,MA,233463.0,0.0,0.0
1973,MD,175054.0,3188.0,0.0
1973,ME,18163.0,4057.0,0.0
1973,MI,398166.0,89385.0,0.0
1973,MN,119794.0,16702.0,0.0
1973,MO,159056.0,23868.0,0.0
1973,MS,29041.0,8344.0,0.0
1973,MT,15817.0,6428.0,0.0
1973,NC,102897.0,32503.0,0.0
1973,ND,10642.0,1996.0,0.0
1973,NE,36837.0,5500.0,0.0
1973,NH,14368.0,798.0,0.0
1973,NJ,292498.0,0.0,0.0
1973,NM,43904.0,5885.0,0.0
1973,NV,35073.0,3468.0,0.0
1973,NY,684462.0,24807.0,0.0
1973,OH,301514.0,50267.0,0.0
1973,OK,75437.0,8112.0,0.0
1973,OR,79970.0,31622.0,0.0
1973,PA,240039.0,0.0,0.0
1973,RI,44556.0,0.0,0.0
1973,SC,47373.0,28990.0,0.0
1973,SD,9107.0,2703.0,0.0
1973,TN,101757.0,12164.0,0.0
1973,TX,422595.0,23981.0,0.0
1973,UT,43724.0,3184.0,0.0
1973,VA,141127.0,6943.0,0.0
1973,VT,5167.0,32.0,0.0
