year,state_abb,agency_type,agencies,officers,total_staff
1964,CT,local police department,98,3163.0,3343.0
1964,CT,state law enforcement agency,1,0.0,0.0
1964,DC,federal,1,0.0,0.0
1964,DC,local police department,1,2884.0,3113.0
1964,DE,local police department,11,296.0,335.0
1964,DE,sheriffs office,2,0.0,0.0
1964,DE,state law enforcement agency,4,0.0,0.0
1964,FL,local police department,146,5210.0,6586.0
1964,FL,sheriffs office,66,622.0,920.0
1964,GA,constable/marshal,3,29.0,31.0
1964,GA,local police department,121,2105.0,2335.0
1964,GA,sheriffs office,159,106.0,116.0
1964,HI,local police department,13,828.0,959.0
1964,HI,special jurisdiction,1,0.0,0.0
1964,IA,local police department,104,1419.0,1638.0
1964,IA,sheriffs office,100,226.0,279.0
1964,ID,local police department,32,392.0,445.0
1964,ID,sheriffs office,44,150.0,168.0
1964,IL,local police department,330,3925.0,4402.0
1964,IL,sheriffs office,102,607.0,666.0
1964,IN,local police department,134,3520.0,3869.0
1964,IN,sheriffs office,92,445.0,492.0
1964,IN,state law enforcement agency,93,0.0,0.0
1964,KS,local police department,95,1162.0,1353.0
1964,KS,sheriffs office,104,293.0,323.0
1964,KY,local police department,89,1648.0,1863.0
1964,KY,sheriffs office,120,124.0,134.0
1964,LA,local police department,88,1983.0,2203.0
1964,LA,sheriffs office,64,433.0,485.0
1964,LA,state law enforcement agency,1,0.0,0.0
1964,MA,local police department,236,8226.0,8710.0
1964,MA,sheriffs office,14,0.0,0.0
1964,MA,state law enforcement agency,15,0.0,0.0
1964,MD,local police department,44,4753.0,5278.0
1964,MD,sheriffs office,23,30.0,35.0
1964,MD,special jurisdiction,1,0.0,0.0
1964,MD,state law enforcement agency,24,0.0,0.0
1964,ME,local police department,70,536.0,584.0
1964,ME,sheriffs office,16,66.0,102.0
1964,ME,state law enforcement agency,1,0.0,0.0
1964,MI,local police department,201,8618.0,9583.0
1964,MI,sheriffs office,83,1118.0,1230.0
1964,MI,special jurisdiction,1,0.0,0.0
1964,MI,state law enforcement agency,1,0.0,0.0
1964,MN,local police department,129,2444.0,2649.0
1964,MN,sheriffs office,87,445.0,494.0
1964,MO,local police department,150,4102.0,5062.0
1964,MO,sheriffs office,114,344.0,391.0
1964,MS,local police department,63,628.0,717.0
1964,MS,sheriffs office,82,47.0,62.0
1964,MT,local police department,32,308.0,349.0
1964,MT,sheriffs office,57,267.0,291.0
1964,NC,local police department,112,2638.0,2866.0
1964,NC,sheriffs office,100,227.0,236.0
1964,ND,local police department,15,288.0,312.0
1964,ND,sheriffs office,53,83.0,91.0
1964,NE,local police department,45,773.0,882.0
1964,NE,sheriffs office,93,158.0,209.0
1964,NH,local police department,35,460.0,485.0
1964,NH,sheriffs office,10,3.0,4.0
1964,NH,state law enforcement agency,11,0.0,0.0
1964,NJ,local police department,342,9933.0,10768.0
1964,NJ,sheriffs office,21,0.0,0.0
1964,NJ,special jurisdiction,1,0.0,0.0
1964,NJ,state law enforcement agency,1,0.0,0.0
1964,NM,local police department,33,598.0,697.0
1964,NM,sheriffs office,32,58.0,69.0
1964,NM,special jurisdiction,3,15.0,16.0
1964,NM,state law enforcement agency,1,0.0,0.0
1964,NV,local police department,11,725.0,825.0
1964,NV,sheriffs office,16,108.0,131.0
1964,NY,constable/marshal,1,0.0,0.0
1964,NY,local police department,300,37130.0,39339.0
1964,NY,sheriffs office,60,1062.0,1181.0
1964,NY,special jurisdiction,2,0.0,0.0
1964,NY,state law enforcement agency,62,0.0,0.0
1964,OH,local police department,297,8349.0,9325.0
1964,OH,sheriffs office,88,677.0,782.0
1964,OH,special jurisdiction,1,0.0,0.0
1964,OK,local police department,92,1395.0,1562.0
1964,OK,sheriffs office,77,250.0,261.0
1964,OR,local police department,60,1404.0,1642.0
1964,OR,sheriffs office,36,458.0,509.0
1964,PA,local police department,513,11858.0,13007.0
1964,PA,sheriffs office,67,0.0,0.0
1964,PA,state law enforcement agency,68,0.0,0.0
1964,RI,local police department,30,1241.0,1362.0
1964,RI,sheriffs office,2,0.0,0.0
1964,RI,state law enforcement agency,6,0.0,0.0
1964,SC,local police department,72,896.0,990.0
1964,SC,sheriffs office,46,53.0,62.0
1964,SC,special jurisdiction,1,0.0,0.0
1964,SD,local police department,27,297.0,333.0
1964,SD,sheriffs office,67,62.0,67.0
1964,TN,local police department,81,2016.0,2291.0
1964,TN,sheriffs office,94,88.0,101.0
1964,TX,local police department,314,7402.0,8612.0
1964,TX,sheriffs office,254,700.0,746.0
1964,UT,local police department,41,466.0,552.0
